filename,width,height,channels,file_size_mb
Oil (205).png,1920,1080,3,0.018652915954589844
Oil (206).png,1920,1080,3,0.019289016723632812
Oil (207).png,1920,1080,3,0.021137237548828125
Oil (208).png,1920,1080,3,0.02214336395263672
Oil (209).png,1920,1080,3,0.017821311950683594
Oil (211).png,1920,1080,3,0.022869110107421875
Oil (212).png,1920,1080,3,0.016409873962402344
Oil (213).png,1920,1080,3,0.0196075439453125
Oil (214).png,1920,1080,3,0.018621444702148438
Oil (215).png,1920,1080,3,0.01916980743408203
Oil (216).png,1920,1080,3,0.013487815856933594
Oil (217).png,1920,1080,3,0.012774467468261719
Oil (219).png,1920,1080,3,0.013790130615234375
Oil (22).png,1920,1080,3,0.014645576477050781
Oil (220).png,1920,1080,3,0.015127182006835938
Oil (221).png,1920,1080,3,0.01363372802734375
Oil (222).png,1920,1080,3,0.014842033386230469
Oil (223).png,1920,1080,3,0.012799263000488281
Oil (225).png,1920,1080,3,0.012804985046386719
Oil (226).png,1920,1080,3,0.012859344482421875
Oil (227).png,1920,1080,3,0.011219978332519531
Oil (228).png,1920,1080,3,0.012648582458496094
Oil (23).png,1920,1080,3,0.012900352478027344
Oil (230).png,1920,1080,3,0.012803077697753906
Oil (232).png,1920,1080,3,0.0144805908203125
Oil (233).png,1920,1080,3,0.013479232788085938
Oil (234).png,1920,1080,3,0.015175819396972656
Oil (236).png,1920,1080,3,0.014032363891601562
Oil (238).png,1920,1080,3,0.015712738037109375
Oil (24).png,1920,1080,3,0.013309478759765625
Oil (241).png,1920,1080,3,0.016303062438964844
Oil (243).png,1920,1080,3,0.016241073608398438
Oil (244).png,1920,1080,3,0.01584625244140625
Oil (245).png,1920,1080,3,0.015608787536621094
Oil (246).png,1920,1080,3,0.01746368408203125
Oil (248).png,1920,1080,3,0.023575782775878906
Oil (25).png,1920,1080,3,0.015000343322753906
Oil (250).png,1920,1080,3,0.033247947692871094
Oil (252).png,1920,1080,3,0.028443336486816406
Oil (253).png,1920,1080,3,0.03006744384765625
Oil (254).png,1920,1080,3,0.03044891357421875
Oil (255).png,1920,1080,3,0.02882671356201172
Oil (257).png,1920,1080,3,0.031280517578125
Oil (258).png,1920,1080,3,0.033016204833984375
Oil (26).png,1920,1080,3,0.012219429016113281
Oil (260).png,1920,1080,3,0.032088279724121094
Oil (261).png,1920,1080,3,0.03379344940185547
Oil (262).png,1920,1080,3,0.03310394287109375
Oil (263).png,1920,1080,3,0.032939910888671875
Oil (264).png,1920,1080,3,0.032115936279296875
Oil (266).png,1920,1080,3,0.031429290771484375
Oil (267).png,1920,1080,3,0.03155326843261719
Oil (268).png,1920,1080,3,0.0312957763671875
Oil (269).png,1920,1080,3,0.03150367736816406
Oil (270).png,1920,1080,3,0.02984905242919922
Oil (271).png,1920,1080,3,0.0199127197265625
Oil (272).png,1920,1080,3,0.022710800170898438
Oil (273).png,1920,1080,3,0.02417755126953125
Oil (274).png,1920,1080,3,0.011618614196777344
Oil (276).png,1920,1080,3,0.01197052001953125
Oil (277).png,1920,1080,3,0.011915206909179688
Oil (278).png,1920,1080,3,0.027034759521484375
Oil (28).png,1920,1080,3,0.012651443481445312
Oil (286).png,1920,1080,3,0.01055145263671875
Oil (289).png,1920,1080,3,0.010560035705566406
Oil (29).png,1920,1080,3,0.012717247009277344
Oil (290).png,1920,1080,3,0.011946678161621094
Oil (292).png,1920,1080,3,0.010527610778808594
Oil (293).png,1920,1080,3,0.01180267333984375
Oil (294).png,1920,1080,3,0.011836051940917969
Oil (295).png,1920,1080,3,0.011831283569335938
Oil (296).png,1920,1080,3,0.010545730590820312
Oil (297).png,1920,1080,3,0.029733657836914062
