filename,width,height,channels,file_size_mb
Oil (305).jpg,1920,1080,3,0.7317628860473633
Oil (307).jpg,1920,1080,3,0.7300405502319336
Oil (309).jpg,1920,1080,3,0.7237138748168945
Oil (31).jpg,1920,1080,3,0.8593959808349609
Oil (311).jpg,1920,1080,3,0.734440803527832
Oil (312).jpg,1920,1080,3,0.7210559844970703
Oil (313).jpg,1920,1080,3,0.7190380096435547
Oil (314).jpg,1920,1080,3,0.8202342987060547
Oil (315).jpg,1920,1080,3,0.8226604461669922
Oil (316).jpg,1920,1080,3,0.8306999206542969
Oil (317).jpg,1920,1080,3,0.847198486328125
Oil (318).jpg,1920,1080,3,0.841461181640625
Oil (319).jpg,1920,1080,3,0.8352985382080078
Oil (32).jpg,1920,1080,3,0.8276987075805664
Oil (320).jpg,1920,1080,3,0.842315673828125
Oil (323).jpg,1920,1080,3,0.8486623764038086
Oil (324).jpg,1920,1080,3,0.8397226333618164
Oil (325).jpg,1920,1080,3,0.8491287231445312
Oil (326).jpg,1920,1080,3,0.8369264602661133
Oil (33).jpg,1920,1080,3,0.8630571365356445
Oil (331).jpg,1920,1080,3,0.8296937942504883
Oil (332).jpg,1920,1080,3,0.8264284133911133
Oil (333).jpg,1920,1080,3,0.8317747116088867
Oil (335).jpg,1920,1080,3,0.7435531616210938
Oil (336).jpg,1920,1080,3,0.742009162902832
Oil (338).jpg,1920,1080,3,0.5982198715209961
Oil (339).jpg,1920,1080,3,0.5813512802124023
Oil (34).jpg,1920,1080,3,0.9115657806396484
Oil (344).jpg,1920,1080,3,0.5024776458740234
Oil (345).jpg,1920,1080,3,0.4895305633544922
Oil (35).jpg,1920,1080,3,0.9224252700805664
Oil (350).jpg,1920,1080,3,0.7584152221679688
Oil (351).jpg,1920,1080,3,0.7591667175292969
Oil (352).jpg,1920,1080,3,0.7477512359619141
Oil (353).jpg,1920,1080,3,0.7369470596313477
Oil (355).jpg,1920,1080,3,0.7004547119140625
Oil (357).jpg,1920,1080,3,0.7236804962158203
Oil (358).jpg,1920,1080,3,0.7375240325927734
Oil (359).jpg,1920,1080,3,0.7608327865600586
Oil (36).jpg,1920,1080,3,0.939915657043457
Oil (361).jpg,1920,1080,3,0.7647628784179688
Oil (363).jpg,1920,1080,3,0.9911584854125977
Oil (369).jpg,1920,1080,3,0.9871892929077148
Oil (371).jpg,1920,1080,3,0.9884090423583984
Oil (373).jpg,1920,1080,3,0.9968633651733398
Oil (375).jpg,1920,1080,3,0.9845218658447266
Oil (377).jpg,1920,1080,3,0.9869327545166016
Oil (378).jpg,1920,1080,3,0.9963464736938477
Oil (379).jpg,1920,1080,3,0.9862117767333984
Oil (38).jpg,1920,1080,3,1.0392236709594727
Oil (380).jpg,1920,1080,3,0.8457393646240234
Oil (381).jpg,1920,1080,3,0.8348293304443359
Oil (382).jpg,1920,1080,3,0.8268699645996094
